pollster,poll_id,state,start_date,end_date,DEM,REP,Delta,date,Quarter_2018-4,Quarter_2019-1,Quarter_2019-2,Quarter_2019-3,Quarter_2019-4,Quarter_2020-1,Quarter_2020-2,Quarter_2020-3,Quarter_2020-4,Quarter_2021-2,Quarter_2021-3,Quarter_2021-4,Quarter_2022-1,Quarter_2022-2,Quarter_2022-3,Quarter_2022-4,Quarter_2023-1,Quarter_2023-2,Quarter_2023-3,Quarter_2023-4,Quarter_2024-1,Quarter_2024-2,Quarter_2024-3,Quarter_2024-4,Day_Series,Prior_Delta,Swing
PureSpectrum,67021,National,4/16/20,4/30/20,44,40,48,2020-04-30,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,534,50,-2
PPP,66047,Iowa,4/30/20,5/1/20,46,48,51,2020-05-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,535,51.5,-0.5
YouGov,66045,National,4/28/20,5/1/20,49,43,47,2020-05-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,535,48,-1
U. Massachusetts - Lowell,66175,Massachusetts,4/27/20,5/1/20,58,30,36,2020-05-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,535,34.766666666666666,1.2333333333333343
East Tennessee State University,66316,Tennessee,4/22/20,5/1/20,36,53,58.5,2020-05-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,535,58.900000000000006,-0.4000000000000057
RMG Research,66061,National,4/30/20,5/2/20,46,39,46.5,2020-05-02,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,536,47,-0.5
Øptimus,66067,National,4/25/20,5/2/20,44.3,40.349999999999994,48.025,2020-05-02,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,536,46.5,1.5249999999999986
Rutgers-Eagleton,66284,New Jersey,4/22/20,5/2/20,55.5,32.5,38.5,2020-05-02,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,536,42,-3.5
Morning Consult,66100,National,5/2/20,5/3/20,45,41,48,2020-05-03,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,537,48.025,-0.02499999999999858
Change Research,66103,National,5/1/20,5/3/20,47,44,48.5,2020-05-03,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,537,48,0.5
Keating Research/OnSight Public Affairs/Melanson,66140,Colorado,5/1/20,5/3/20,55,36,40.5,2020-05-03,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,537,40.92,-0.4200000000000017
Morning Consult,66070,National,4/27/20,5/3/20,46,42,48,2020-05-03,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,537,48.5,-0.5
Civiqs,66073,North Carolina,5/2/20,5/4/20,49,46,48.5,2020-05-04,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,538,46.5,2
Monmouth,66076,National,4/30/20,5/4/20,48.5,40.5,46,2020-05-04,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,538,48,-2
Quinnipiac,66145,New York,4/30/20,5/4/20,55,32,38.5,2020-05-04,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,538,32,6.5
Quinnipiac,66146,New Jersey,4/30/20,5/4/20,54,35,40.5,2020-05-04,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,538,38.5,2
Quinnipiac,66147,Connecticut,4/30/20,5/4/20,56,33,38.5,2020-05-04,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,538,43.925000000000004,-5.425000000000004
Data for Progress,66296,National,5/5/20,5/5/20,50.355,43.269999999999996,46.457499999999996,2020-05-05,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,539,46,0.457499999999996
Ipsos,66101,National,5/4/20,5/5/20,41,39.5,49.25,2020-05-05,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,539,46.457499999999996,2.792500000000004
YouGov,66173,National,5/4/20,5/5/20,45,42,48.5,2020-05-05,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,539,49.25,-0.75
YouGov,66122,National,5/3/20,5/5/20,46,42,48,2020-05-05,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,539,48.5,-0.5
Civiqs,66105,National,5/2/20,5/5/20,47,44,48.5,2020-05-05,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,539,48,0.5
Hodas & Associates,66400,Michigan,5/1/20,5/5/20,51.83,42.17,45.17,2020-05-05,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,539,46,-0.8299999999999983
Øptimus,66168,National,4/28/20,5/5/20,45.849999999999994,39.95,47.050000000000004,2020-05-05,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,539,48.5,-1.4499999999999957
Morning Consult,68342,Wisconsin,4/26/20,5/5/20,49,43,47,2020-05-05,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,539,47.5,-0.5
HarrisX,66253,National,5/6/20,5/6/20,41,41,50,2020-05-06,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,540,47.050000000000004,2.9499999999999957
Emerson,66203,Massachusetts,5/5/20,5/6/20,66.87,33.13,33.129999999999995,2020-05-06,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,540,36,-2.8700000000000045
Morning Consult,67697,National,5/4/20,5/6/20,49,44,47.5,2020-05-06,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,540,50,-2.5
Morning Consult,68343,Wisconsin,4/27/20,5/6/20,48,43,47.5,2020-05-06,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,540,47,0.5
Morning Consult,67698,National,5/5/20,5/7/20,49,44,47.5,2020-05-07,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,541,47.5,0
Marquette Law School,66252,Wisconsin,5/3/20,5/7/20,47.5,44,48.25,2020-05-07,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,541,47.5,0.75
Morning Consult,68344,Wisconsin,4/28/20,5/7/20,48,44,48,2020-05-07,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,541,48.25,-0.25
Hodas & Associates,66402,Wisconsin,5/6/20,5/8/20,51.5,42.17,45.335,2020-05-08,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,542,48,-2.664999999999999
Morning Consult,67768,National,5/6/20,5/8/20,49,44,47.5,2020-05-08,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,542,47.5,0
Morning Consult,68345,Wisconsin,4/29/20,5/8/20,48,43,47.5,2020-05-08,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,542,45.335,2.164999999999999
Redfield & Wilton Strategies,66212,National,5/8/20,5/9/20,47.33,39.93,46.3,2020-05-09,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,543,47.5,-1.2000000000000028
Emerson,66243,California,5/8/20,5/9/20,65.17,34.83,34.83,2020-05-09,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,543,31,3.8299999999999983
RMG Research,66208,National,5/7/20,5/9/20,44,38,47,2020-05-09,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,543,46.3,0.7000000000000028
East Carolina University,66289,North Carolina,5/7/20,5/9/20,43.2,46.1,51.45,2020-05-09,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,543,48.5,2.950000000000003
Morning Consult,67699,National,5/7/20,5/9/20,48,44,48,2020-05-09,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,543,47,1
Øptimus,66235,National,5/2/20,5/9/20,45.35,40.35,47.5,2020-05-09,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,543,48,-0.5
Morning Consult,68346,Wisconsin,4/30/20,5/9/20,47,45,49,2020-05-09,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,543,47.5,1.5
Emerson,66241,Texas,5/8/20,5/10/20,48.31,51.69,51.69,2020-05-10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,544,49.5,2.1899999999999977
Emerson,66242,Ohio,5/8/20,5/10/20,48.63,51.37,51.37,2020-05-10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,544,49.650000000000006,1.7199999999999918
Morning Consult,67700,National,5/8/20,5/10/20,48,45,48.5,2020-05-10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,544,47.5,1
CNN/SSRS,66245,National,5/7/20,5/10/20,51,46,47.5,2020-05-10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,544,48.5,-1
DCCC Targeting Team,66263,Nebraska CD-2,5/7/20,5/10/20,52,41,44.5,2020-05-10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,544,50,-5.5
Morning Consult,66240,National,5/4/20,5/10/20,45,42,48.5,2020-05-10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,544,47.5,1
Morning Consult,68347,Wisconsin,5/1/20,5/10/20,47,45,49,2020-05-10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,544,49,0
OH Predictive Insights / MBQF,66309,Arizona,5/9/20,5/11/20,50.46,42.56,46.05,2020-05-11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,545,49.5,-3.450000000000003
Morning Consult,67701,National,5/9/20,5/11/20,48,45,48.5,2020-05-11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,545,48.5,0
Global Strategy Group,66303,Colorado,5/7/20,5/11/20,53,40,43.5,2020-05-11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,545,40.5,3
Morning Consult,68348,Wisconsin,5/2/20,5/11/20,47,45,49,2020-05-11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,545,49,0
Data for Progress,66404,National,5/12/20,5/12/20,50.735,43.54,46.4025,2020-05-12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,546,48.5,-2.0974999999999966
Ipsos,66262,National,5/11/20,5/12/20,43.5,37,46.75,2020-05-12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,546,46.4025,0.3474999999999966
YouGov,66268,National,5/10/20,5/12/20,47,43,48,2020-05-12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,546,46.75,1.25
Morning Consult,67702,National,5/10/20,5/12/20,48,45,48.5,2020-05-12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,546,48,0.5
Florida Atlantic University,66288,Florida,5/8/20,5/12/20,52.65,47.35,47.35,2020-05-12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,546,48.5,-1.1499999999999986
Øptimus,66283,National,5/5/20,5/12/20,47.05,39.849999999999994,46.4,2020-05-12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,546,48.5,-2.1000000000000014
Morning Consult,68349,Wisconsin,5/3/20,5/12/20,47,44,48.5,2020-05-12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,546,49,-0.5
BK Strategies,66290,Georgia,5/11/20,5/13/20,46,48,51,2020-05-13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,547,50.55,0.45000000000000284
Morning Consult,67703,National,5/11/20,5/13/20,48,44,48,2020-05-13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,547,46.4,1.6000000000000014
Hodas & Associates,66401,Pennsylvania,5/9/20,5/13/20,46,50.5,52.25,2020-05-13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,547,47,5.25
Meeting Street Insights,66529,North Carolina,5/9/20,5/13/20,46.6,46.8,50.099999999999994,2020-05-13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,547,51.45,-1.3500000000000085
Morning Consult,68350,Wisconsin,5/4/20,5/13/20,47,44,48.5,2020-05-13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,547,48.5,0
Harris Poll,66304,National,5/13/20,5/14/20,53,47,47,2020-05-14,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,548,48,-1
HarrisX,66307,National,5/13/20,5/14/20,42,41,49.5,2020-05-14,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,548,47,2.5
Morning Consult,67704,National,5/12/20,5/14/20,49,44,47.5,2020-05-14,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,548,49.5,-2
Redfield & Wilton Strategies,66502,Arizona,5/10/20,5/14/20,45,41,48,2020-05-14,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,548,46.05,1.9500000000000028
Redfield & Wilton Strategies,66503,North Carolina,5/10/20,5/14/20,45,43,49,2020-05-14,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,548,50.099999999999994,-1.0999999999999943
Redfield & Wilton Strategies,66504,Florida,5/10/20,5/14/20,45,43,49,2020-05-14,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,548,47.35,1.6499999999999986
Redfield & Wilton Strategies,66505,Pennsylvania,5/10/20,5/14/20,48,39,45.5,2020-05-14,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,548,52.25,-6.75
Redfield & Wilton Strategies,66506,Michigan,5/10/20,5/14/20,47,39,46,2020-05-14,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,548,45.17,0.8299999999999983
Redfield & Wilton Strategies,66507,Wisconsin,5/10/20,5/14/20,48,38,45,2020-05-14,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,548,48.5,-3.5
Morning Consult,68351,Wisconsin,5/5/20,5/14/20,49,43,47,2020-05-14,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,548,45,2
PPP,66392,Kentucky,5/14/20,5/15/20,39,55,58,2020-05-15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,549,60.5,-2.5
Morning Consult,67705,National,5/13/20,5/15/20,49,43,47,2020-05-15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,549,47.5,-0.5
Y2 Analytics,66525,Utah,5/9/20,5/15/20,39.4,46.4,53.5,2020-05-15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,549,59.5,-6
Morning Consult,68352,Wisconsin,5/6/20,5/15/20,49,42,46.5,2020-05-15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,549,47,-0.5
PureSpectrum,67020,National,5/2/20,5/15/20,43,39,48,2020-05-15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,549,47,1
RMG Research,66306,National,5/14/20,5/16/20,43,39,48,2020-05-16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,550,48,0
Morning Consult,67706,National,5/14/20,5/16/20,49,44,47.5,2020-05-16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,550,48,-0.5
Øptimus,66305,National,5/9/20,5/16/20,46.55,37.75,45.6,2020-05-16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,550,47.5,-1.8999999999999986
Morning Consult,68353,Wisconsin,5/7/20,5/16/20,49,43,47,2020-05-16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,550,46.5,0.5
Morning Consult,69447,Minnesota,5/7/20,5/16/20,55,38,41.5,2020-05-16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,550,43.875,-2.375
Roanoke College,66310,Virginia,5/3/20,5/16/20,51,39,44,2020-05-16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,550,45,-1
Change Research,66375,National,5/15/20,5/17/20,48,45,48.5,2020-05-17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,551,45.6,2.8999999999999986
Morning Consult,67769,National,5/15/20,5/17/20,49,44,47.5,2020-05-17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,551,48.5,-1
Point Blank Political,66308,Florida,5/14/20,5/17/20,48.4,45.8,48.7,2020-05-17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,551,49,-0.29999999999999716
Morning Consult,66379,National,5/11/20,5/17/20,46,41,47.5,2020-05-17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,551,47.5,0
Change Research,66406,Michigan,5/11/20,5/17/20,47.81,45.105000000000004,48.6475,2020-05-17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,551,46,2.647500000000001
Morning Consult,68354,Wisconsin,5/8/20,5/17/20,48,43,47.5,2020-05-17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,551,47,0.5
Civiqs,66312,Georgia,5/16/20,5/18/20,48,47,49.5,2020-05-18,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,552,51,-1.5
Morning Consult,67707,National,5/16/20,5/18/20,49,44,47.5,2020-05-18,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,552,47.5,0
Quinnipiac,66394,National,5/14/20,5/18/20,50,39,44.5,2020-05-18,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,552,47.5,-3
FM3 Research,66864,Alabama,5/14/20,5/18/20,39,53,57,2020-05-18,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,552,60.5,-3.5
U. New Hampshire,67829,New Hampshire,5/14/20,5/18/20,44,46,51,2020-05-18,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,552,46,5
Kaiser Family Foundation,66510,National,5/13/20,5/18/20,43,41,49,2020-05-18,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,552,44.5,4.5
Morning Consult,68355,Wisconsin,5/9/20,5/18/20,47,44,48.5,2020-05-18,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,552,47.5,1
Data for Progress,66405,National,5/19/20,5/19/20,51.730000000000004,42.525,45.397499999999994,2020-05-19,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,553,49,-3.6025000000000063
PPP,66377,National,5/18/20,5/19/20,54,43,44.5,2020-05-19,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,553,45.397499999999994,-0.8974999999999937
Rasmussen,66381,National,5/18/20,5/19/20,48,43,47.5,2020-05-19,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,553,44.5,3
Ipsos,66396,National,5/18/20,5/19/20,45,36.5,45.75,2020-05-19,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,553,47.5,-1.75
SurveyUSA,66399,California,5/18/20,5/19/20,58,30,36,2020-05-19,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,553,34.83,1.1700000000000017
PPP,66409,Michigan,5/18/20,5/19/20,51,45,47,2020-05-19,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,553,48.6475,-1.6475000000000009
YouGov,66380,National,5/17/20,5/19/20,47,42,47.5,2020-05-19,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,553,45.75,1.75
Morning Consult,67708,National,5/17/20,5/19/20,48,44,48,2020-05-19,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,553,47.5,0.5
SurveyUSA,66403,Washington,5/16/20,5/19/20,57,31,37,2020-05-19,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,553,43.5,-6.5
Øptimus,66512,National,5/12/20,5/19/20,46.65,37.1,45.225,2020-05-19,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,553,48,-2.7749999999999986
Morning Consult,68356,Wisconsin,5/10/20,5/19/20,48,43,47.5,2020-05-19,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,553,48.5,-1
PPP,66513,Washington,5/19/20,5/20/20,59,37,39,2020-05-20,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,554,37,2
Echelon Insights,66515,National,5/18/20,5/20/20,51,42,45.5,2020-05-20,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,554,45.225,0.2749999999999986
Mason-Dixon,66517,Minnesota,5/18/20,5/20/20,49,44,47.5,2020-05-20,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,554,41.5,6
Morning Consult,67709,National,5/18/20,5/20/20,48,44,48,2020-05-20,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,554,45.5,2.5
Beacon/Shaw,66508,National,5/17/20,5/20/20,48,40,46,2020-05-20,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,554,48,-2
Morning Consult,68357,Wisconsin,5/11/20,5/20/20,48,43,47.5,2020-05-20,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,554,47.5,0
YouGov,66514,National,5/20/20,5/21/20,46,42,48,2020-05-21,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,555,46,2
Morning Consult,67770,National,5/19/20,5/21/20,49,44,47.5,2020-05-21,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,555,48,-0.5
Siena,66535,New York,5/17/20,5/21/20,57,32,37.5,2020-05-21,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,555,38.5,-1
Neighborhood Research,66509,North Carolina,5/12/20,5/21/20,42,42,50,2020-05-21,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,555,49,1
Morning Consult,68358,Wisconsin,5/12/20,5/21/20,48,42,47,2020-05-21,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,555,47.5,-0.5
Morning Consult,67710,National,5/20/20,5/22/20,49,43,47,2020-05-22,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,556,47.5,-0.5
HighGround,66530,Arizona,5/18/20,5/22/20,47,45.3,49.15,2020-05-22,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,556,48,1.1499999999999986
Morning Consult,68359,Wisconsin,5/13/20,5/22/20,48,43,47.5,2020-05-22,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,556,47,0.5
SSRS,66766,Tennessee,5/5/20,5/22/20,42,51,54.5,2020-05-22,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,556,58.5,-4
Victoria Research,66561,Indiana,5/21/20,5/23/20,39,49,55,2020-05-23,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,557,56.5,-1.5
Morning Consult,67711,National,5/21/20,5/23/20,48,44,48,2020-05-23,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,557,47,1
Gonzales Research & Media Services,66519,Maryland,5/19/20,5/23/20,59.1,35.3,38.099999999999994,2020-05-23,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,557,38.125,-0.025000000000005684
Øptimus,66531,National,5/16/20,5/23/20,47.599999999999994,39.05,45.725,2020-05-23,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,557,48,-2.2749999999999986
Morning Consult,68360,Wisconsin,5/14/20,5/23/20,49,43,47,2020-05-23,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,557,47.5,-0.5
Morning Consult,67712,National,5/22/20,5/24/20,48,44,48,2020-05-24,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,558,45.725,2.2749999999999986
RMG Research,66765,Kentucky,5/21/20,5/24/20,36,53,58.5,2020-05-24,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,558,58,0.5
SurveyUSA,68073,Connecticut,5/19/20,5/24/20,52,32,40,2020-05-24,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,558,38.5,1.5
Morning Consult,66533,National,5/18/20,5/24/20,46,41,47.5,2020-05-24,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,558,48,-0.5
Morning Consult,68361,Wisconsin,5/15/20,5/24/20,48,44,48,2020-05-24,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,558,47,1
